Q0VAB0,CXB2
Q0VAB0,T4S4
Q0VAB0,B3KMZ5
Q0VAB0,CE046
Q0VAB0,MFSD5
Q0VAB0,M4A13
Q0VAB0,S35B4
PPL13,V9HWE1
PPL13,TBC25
PPL13,SPAG5
PPL13,TRIM1
PPL13,PICK1
PPL13,TRI23
PPL13,GO45
PPL13,POF1B
PPL13,AJUBA
PPL13,FCHO1
PPL13,GFAP
PPL13,PHS2
PPL13,DDT4L
PPL13,C1QT2
PPL13,SHLB2
PPL13,PPM1J
PPL13,A8K8B8
PPL13,D3DPQ1
PPL13,AP4AT
PPL13,IKBD
PPL13,TEKT1
PPL13,K1C19
PPL13,Q9UME6
PPL13,Q9NSS6
PPL13,STA5B
PPL13,CRLF3
PPL13,RIM3C
PPL13,ZN438
PPL13,SYTC2
PPL13,FLNA
PPL13,KRT35
PPL13,ZN655
PPL13,ZNF71
PPL13,TRI27
PPL13,DOK6
PPL13,JERKY
PPL13,MEI4
GT2D1,GORS2
GT2D1,A0A075DDR2
PAF1,LEO1
PAQR2,BI1
B4DX41,ZRAN1
B4DX41,RABE1
B4DX41,PICK1
B4DX41,TRI37
B4DX41,LR2BP
B4DX41,FXR1
B4DX41,FXR2
B4DX41,MTUS2
B4DX41,PIHD2
B4DX41,D3DPQ1
B4DX41,C4P096
B4DX41,ZBT43
B4DX41,CRCM
B4DX41,IKZF1
B4DX41,CRTP1
B4DX41,KANK2
B4DX41,TRI27
UPP2,UPP2
UPP2,LNX1
UPP2,RM28
MARK4,MED20
J3QL78,CXA8
J3QL78,B2RA75
GAS7,GAS7
GAS7,CDC37
GAS7,U3KQK1
GAS7,E5RHC2
GAS7,A8K509
GAS7,MCRS1
GAS7,SPN90
TPC6A,PAX6
TPC6A,TPPC3
TPC6A,EYA2
TPC6A,YPEL3
TPC6A,EFS
TPC6A,TTC23
TPC6A,E5RGB3
TPC6A,B4DSG5
TPC6A,FOXN1
TPC6A,GORS2
TPC6A,A0A0S2Z5S4
TPC6A,PFD5
TPC6A,SMUG1
TPC6A,GGA3
TPC6A,RAB3I
TPC6A,B1ALP6
TPC6A,UBAP2
TPC6A,CTDS1
TPC6A,HSPB8
TPC6A,SCOC
TPC6A,BAG4
TPC6A,GOG6A
TPC6A,B4DQB8
TPC6A,IKZF3
TPC6A,A0A8V8TPL7
TPC6A,MYOZ3
TPC6A,AP4AT
TPC6A,H3BUK6
TPC6A,SRTD3
TPC6A,CAVN2
TPC6A,A0A024QZC1
TPC6A,SF3B5
TPC6A,PSF3
TPC6A,KR132
TPC6A,ZFP90
TPC6A,INCA1
TPC6A,PRR22
CD79B,SGTB
PAX6,NCDN
PAX6,HMGB3
PAX6,RANB3
PAX6,HXC8
PAX6,HOME3
PAX6,NFYC
PAX6,AP1M1
PAX6,B4DIZ2
PAX6,THOC1
PAX6,LXN
PAX6,B4DL28
PAX6,SPG21
PAX6,HNRPC
PAX6,GEMI2
PAX6,DHYS
PAX6,EFHC1
PAX6,MISP
PAX6,PICK1
PAX6,CINP
PAX6,CSK21
PAX6,MARE1
PAX6,SIGL6
PAX6,O43849
PAX6,HXA1
PAX6,CCDC6
PAX6,SRS11
PAX6,AIRIM
PAX6,SET
PAX6,ZN410
PAX6,F5GWI9
PAX6,A6NGX6
PAX6,GCM2
PAX6,CIP4
PAX6,PIN1
PAX6,G8JLM4
PAX6,PPIL4
PAX6,S14L4
PAX6,MORN3
PAX6,MFAP1
PAX6,CIB3
PAX6,SAE1
PAX6,VATC2
PAX6,LNP
PAX6,EAF1
PAX6,E9PEA7
PAX6,FA50B
PAX6,TLK2
PAX6,HMBX1
PAX6,VA0D2
PAX6,NGLY1
PAX6,Q4G0U7
PAX6,LONF1
PAX6,CTSRT
PAX6,RN111
PAX6,LARP4
PAX6,LYSM1
PAX6,CGBP1
PAX6,UBXN7
PAX6,CC103
PAX6,IKBD
PAX6,CAF1A
PAX6,ACO12
PAX6,Q9NSS6
PAX6,CKS1
PAX6,EIF1A
PAX6,B3KQZ4
PAX6,Q53ET9
PAX6,VCX2
PAX6,HXC9
PAX6,AAKG1
PAX6,CTNA3
PAX6,UBE2F
PAX6,HGS
PAX6,CX038
PAX6,RPC3
PAX6,KRA98
PAX6,B2L15
PAX6,ZN124
PAX6,B7Z5E9
PAX6,KANK2
PAX6,QRIC1
PAX6,TLK1
PAX6,GPAN1
PAX6,PS1C2
PAX6,SPDYC
PAX6,RM53
PAX6,KRA93
PAX6,ZBED1
PAX6,UBX2B
PAX6,S12A8
PAX6,KCTD7
PAX6,CDK3
PAX6,GA2L2
RHDF1,LHX3
LUC7L,SRSF7
LUC7L,SRSF6
TEAD3,VGLL1
TEAD3,A0A075B6E4
TEAD3,VGLL3
DJC11,LXN
DJC11,P20D2
DJC11,VPS52
Q53FW5,SGSM3
Q53FW5,CLC10
Q53FW5,SAC1
MYLIP,EXOS5
MYLIP,Q53SE7
MYLIP,HOOK2
MYLIP,A0A024R3C6
MYLIP,IN80B
MYLIP,B1ALP6
MYLIP,SDCB1
MYLIP,B7ZMJ3
MYLIP,DDT4L
MYLIP,SCNM1
MYLIP,X5D9D2
MYLIP,M0R230
MYLIP,F1D8P2
MYLIP,TEANC
MYLIP,ZBT18
MYLIP,ZBT42
MYLIP,ZN438
MYLIP,EFHC2
MYLIP,NOXA1
MYLIP,F217B
MYLIP,ARI5A
MYLIP,PAX9
MYLIP,NHLC4
PSB1,ZBT32
PSB1,B2R7R2
PSB1,B0AZT6
PSB1,TRAF1
PSB1,GPBP1
PSB1,GRAP1
PSB1,F2Z2Y8
PSB1,CC14B
PSB1,GEMI2
PSB1,K1H1
PSB1,SNF5
PSB1,CYH4
PSB1,BIRC7
PSB1,CCM2L
PSB1,RPR1B
PSB1,NDKM
PSB1,MS18B
PSB1,STMN2
PSB1,P5CR3
PSB1,LIN7B
PSB1,Q8WY48
PSB1,LENG1
PSB1,TFPT
PSB1,HXA1
PSB1,AGR2
PSB1,LHX3
PSB1,RNF8
PSB1,TRI23
PSB1,TTC33
PSB1,CLPP
PSB1,KRT36
PSB1,TRAF2
PSB1,PSA1
PSB1,KHDC4
PSB1,MTUS2
PSB1,COG6
PSB1,KTBL1
PSB1,XPA
PSB1,HM20A
PSB1,B7Z896
PSB1,SH3G1
PSB1,FA50B
PSB1,KCC2G
PSB1,VAX1
PSB1,JKIP1
PSB1,IMPCT
PSB1,UBS3B
PSB1,PSB4
PSB1,MRNIP
PSB1,RYBP
PSB1,LZTL1
PSB1,BEND7
PSB1,RBTN1
PSB1,SMAD3
PSB1,SCAR5
PSB1,MLKL
PSB1,E9PFI4
PSB1,AHSP
PSB1,DDI1
PSB1,B3KVF5
PSB1,X5DQN9
PSB1,GTPB2
PSB1,THAP6
PSB1,G45IP
PSB1,GEMI4
PSB1,MKRN3
PSB1,DSCR6
PSB1,ZN438
PSB1,CTG1B
PSB1,KR191
PSB1,KR151
PSB1,NANO3
PSB1,ZN177
PSB1,A0A024R6X4
PSB1,ZN774
PSB1,LCE1C
PSB1,BPIA1
PSB1,TRI39
PSB1,TRI27
PSB1,K1C40
PSB1,ZN688
PSB1,LCE1F
PSB1,KR197
PSB1,OTU7B
PSB1,CTG1B
PSB1,ZN177
PSB1,KRA71
PSB1,PI42B
CDKL5,H0Y818
KCC1G,KR108
KCC1G,KR101
A0A0A0MR98,LNX1
A0A0A0MR98,CRY2
A0A0A0MR98,F124B
A0A0A0MR98,SDCB1
AP2D,AKP8L
AP2D,ZBT32
AP2D,F168A
AP2D,TRAF1
AP2D,ZMY12
AP2D,PITX1
AP2D,A8K161
AP2D,H0Y818
AP2D,KLH20
AP2D,K1H1
AP2D,CAR10
AP2D,CEP76
AP2D,MS18B
